MA_TS,SOBIODANH,HOTEN,CCCD,NGAYSINH,SDT,EMAIL,MA_KH,SOLANGIAHAN
TS0001,1,Yến Đặng,226997273935,2004-10-17,961252147,yendang27@gmail.com,KH0001,0
TS0002,2,Kim Nguyễn,533456265405,2004-11-04,995947060,kimnguyen21@gmail.com,KH0002,0
TS0003,3,Linh Phạm,208270224299,1995-10-19,349903791,linhpham45@gmail.com,KH0003,0
TS0004,4,Ánh Dương,488955025572,2004-09-15,903720904,anhduong76@gmail.com,KH0004,0
TS0005,5,Trọng Nguyễn,898967702594,2001-03-20,549962063,trongnguyen47@gmail.com,KH0005,0
TS0006,6,Hạnh Đức Bùi,916634763896,2004-06-08,997323805,hanhducbui28@gmail.com,KH0006,0
TS0007,7,Khoa Dương,503215968712,2002-08-25,847098287,khoaduong63@gmail.com,KH0007,0
TS0008,8,Hải Đặng,031412090251,2005-12-02,555259962,haidang50@gmail.com,KH0008,0
TS0009,9,Lâm Dương,496707469436,2007-08-13,773931118,lamduong83@gmail.com,KH0009,0
TS0010,10,Khoa Thị Bùi,653576515784,2007-02-16,714779069,khoathibui88@gmail.com,KH0010,0
TS0011,11,Trung Bùi,099699847488,2003-08-24,929718852,trungbui26@gmail.com,KH0011,0
TS0012,12,Hạnh Dương,551652844971,2002-07-19,750887372,hanhduong91@gmail.com,KH0012,0
TS0013,13,Bảo Nguyễn,415326708490,2002-07-17,938799476,baonguyen90@gmail.com,KH0013,0
TS0014,14,Minh Mai,852367556808,1998-05-25,346378893,minhmai96@gmail.com,KH0014,0
TS0015,15,Hải Đức Hoàng,423949181330,2003-11-08,857207165,haiduchoang46@gmail.com,KH0015,0
TS0016,16,Quang Mai,019266490398,2007-04-21,966048848,quangmai22@gmail.com,KH0016,0
TS0017,17,Quang Mai,017503998969,2002-12-24,810479937,quangmai15@gmail.com,KH0017,0
TS0018,18,Quang Thị Lê,108405624745,2007-09-12,789546611,quangthile50@gmail.com,KH0018,0
TS0019,19,Quý ông Nam Hoàng,677567064029,2000-02-24,891618671,quyongnamhoang12@gmail.com,KH0019,0
TS0020,20,Nhật Dương,864495647510,2003-08-02,966741704,nhatduong38@gmail.com,KH0020,0
TS0021,21,Nhật Vũ,939377046317,2003-04-19,890824846,nhatvu99@gmail.com,KH0021,0
TS0022,22,Thành Bảo Đặng,922696008861,2004-04-22,921658915,thanhbaodang67@gmail.com,KH0022,0
TS0023,23,Hải Mai,589238907745,2005-06-10,907024611,haimai21@gmail.com,KH0023,0
TS0024,24,Khoa Trần,704110668010,2001-01-26,987512783,khoatran47@gmail.com,KH0024,0
TS0025,25,Lan Hoàng,933521294874,2002-08-24,533802577,lanhoang43@gmail.com,KH0025,0
TS0026,26,Kim Hoàng,945327720577,2005-04-28,988275394,kimhoang31@gmail.com,KH0026,0
TS0027,27,Tùng Lê,447741601170,2002-06-21,990623813,tungle28@gmail.com,KH0027,0
TS0028,28,Nhật Đức Dương,282351619429,2001-09-28,369202366,nhatducduong47@gmail.com,KH0028,0
TS0029,29,Kim Vũ,764619726392,2003-12-19,708716783,kimvu73@gmail.com,KH0029,0
